Gare Viotte, 6.022715427111734, 47.246501551427329, 10
Saint Jacques, 6.020961226259578, 47.234970856296655, 12
Granvelle, 6.025353690286829, 47.235310381596307, 10
Victor Hugo, 6.029500146346702, 47.234841756122286, 8
Mairie, 6.022315779424154, 47.236701239866434, 10
Jean Cornet, 6.029768734531883, 47.236109146208591, 12
Morand, 6.026334686781786, 47.238212516264312, 8
8 Septembre, 6.024489718361363, 47.237937080583897, 10
Révolution, 6.023369797386198, 47.23959562866542, 14
Madeleine, 6.019882697811857, 47.239899329385075, 10
Marulaz, 6.01714739076459, 47.239626225018384, 8
Belfort, 6.013118317645888, 47.239520251004521, 10
La City, 6.015154541801688, 47.235275153213244, 6
Square Bouchot, 6.022024973914319, 47.24377512399861, 8
Isembart, 6.024678430323917, 47.242589658238117, 10
Office de tourisme, 6.02991128269818, 47.242429704993192, 12
Médiathèque, 6.027427292418682, 47.239972173221872, 14
Bersot, 6.029203547630531, 47.238830784997027, 6
Gare de la Mouillère, 6.033786686212534, 47.239824962977849, 10
Tassigny, 6.032170199084378, 47.237986443431204, 6
Jacobins, 6.032794687342802, 47.234654921102994, 6
Rivotte, 6.035021926715934, 47.232117826784354, 4
Déportés, 6.028169214739356, 47.230753801703692, 10
Place Flore, 6.027867896912155, 47.245774714380005, 7
Beaux Arts, 6.025236465176138, 47.240972521602302, 8
Place de la Liberté, 6.028749817937948, 47.247349361794193, 10
Xavier Marmier, 6.00740426419181, 47.241512791039895, 8
Place Leclerc, 6.014530660962009, 47.242360044594982, 10
Gare d'Eau, 6.020199329897111, 47.232978225257391, 8
Beauregard, 6.02341695664569, 47.231993942842749, 6